date,state,fips,cases,deaths
2022-05-01,Alabama,01,1300733,19567
2022-05-01,Alaska,02,251388,1212
2022-05-01,American Samoa,60,5517,12
2022-05-01,Arizona,04,2021524,29951
2022-05-01,Arkansas,05,835916,11392
2022-05-01,California,06,9235936,90422
2022-05-01,Colorado,08,1390127,12366
2022-05-01,Connecticut,09,758281,10850
2022-05-01,Delaware,10,262461,2907
2022-05-01,District of Columbia,11,141943,1340
2022-05-01,Florida,12,5925668,73948
2022-05-01,Georgia,13,2445476,36349
2022-05-01,Guam,66,49111,355
2022-05-01,Hawaii,15,241955,1415
2022-05-01,Idaho,16,446138,4930
2022-05-01,Illinois,17,3144347,37898
2022-05-01,Indiana,18,1702292,23587
2022-05-01,Iowa,19,763782,9529
2022-05-01,Kansas,20,776663,8635
2022-05-01,Kentucky,21,1337141,15418
2022-05-01,Louisiana,22,1238011,17248
2022-05-01,Maine,23,245080,2286
2022-05-01,Maryland,24,1031797,14456
2022-05-01,Massachusetts,25,1757103,20263
2022-05-01,Michigan,26,2425946,36002
2022-05-01,Minnesota,27,1452817,12778
2022-05-01,Mississippi,28,797575,12444
2022-05-01,Missouri,29,1433608,20199
2022-05-01,Montana,30,274221,3363
2022-05-01,Nebraska,31,479989,4197
2022-05-01,Nevada,32,719451,10774
2022-05-01,New Hampshire,33,309982,2480
2022-05-01,New Jersey,34,2263991,33434
2022-05-01,New Mexico,35,522329,7501
2022-05-01,New York,36,5154714,67694
2022-05-01,North Carolina,37,2661333,23415
2022-05-01,North Dakota,38,241127,2315
2022-05-01,Northern Mariana Islands,69,11263,34
2022-05-01,Ohio,39,2697058,38428
2022-05-01,Oklahoma,40,1040982,14271
2022-05-01,Oregon,41,721311,7502
2022-05-01,Pennsylvania,42,2821667,44678
2022-05-01,Puerto Rico,72,576096,4210
2022-05-01,Rhode Island,44,371629,3540
2022-05-01,South Carolina,45,1474272,17767
2022-05-01,South Dakota,46,237812,2912
2022-05-01,Tennessee,47,1981990,25895
2022-05-01,Texas,48,6753627,88305
2022-05-01,Utah,49,932480,4747
2022-05-01,Vermont,50,123842,637
2022-05-01,Virgin Islands,78,16306,111
2022-05-01,Virginia,51,1701458,20236
2022-05-01,Washington,53,1498708,12747
2022-05-01,West Virginia,54,501204,6856
2022-05-01,Wisconsin,55,1610673,14413
2022-05-01,Wyoming,56,156550,1812
2022-05-02,Alabama,01,1301171,19570
2022-05-02,Alaska,02,251388,1212
2022-05-02,American Samoa,60,5793,26
2022-05-02,Arizona,04,2021524,29951
2022-05-02,Arkansas,05,835983,11394
2022-05-02,California,06,9241769,90440
2022-05-02,Colorado,08,1391617,12367
2022-05-02,Connecticut,09,760370,10851
2022-05-02,Delaware,10,263164,2919
2022-05-02,District of Columbia,11,141943,1340
2022-05-02,Florida,12,5936763,74005
2022-05-02,Georgia,13,2445607,36349
2022-05-02,Guam,66,49155,355
2022-05-02,Hawaii,15,241955,1415
2022-05-02,Idaho,16,446325,4930
2022-05-02,Illinois,17,3153353,37906
2022-05-02,Indiana,18,1703579,23587
2022-05-02,Iowa,19,763782,9529
2022-05-02,Kansas,20,776664,8635
2022-05-02,Kentucky,21,1339285,15571
2022-05-02,Louisiana,22,1238557,17262
2022-05-02,Maine,23,245871,2287
2022-05-02,Maryland,24,1033039,14462
2022-05-02,Massachusetts,25,1763854,20280
2022-05-02,Michigan,26,2425946,36002
2022-05-02,Minnesota,27,1454548,12781
2022-05-02,Mississippi,28,797922,12446
2022-05-02,Missouri,29,1435404,20200
2022-05-02,Montana,30,274376,3373
2022-05-02,Nebraska,31,480151,4197
2022-05-02,Nevada,32,719451,10774
2022-05-02,New Hampshire,33,311144,2481
2022-05-02,New Jersey,34,2267006,33448
2022-05-02,New Mexico,35,522857,7518
2022-05-02,New York,36,5166413,67711
2022-05-02,North Carolina,37,2661633,23415
2022-05-02,North Dakota,38,241127,2315
2022-05-02,Northern Mariana Islands,69,11263,34
2022-05-02,Ohio,39,2697058,38428
2022-05-02,Oklahoma,40,1040982,14271
2022-05-02,Oregon,41,723336,7505
2022-05-02,Pennsylvania,42,2823133,44679
2022-05-02,Puerto Rico,72,578719,4210
2022-05-02,Rhode Island,44,372866,3540
2022-05-02,South Carolina,45,1474272,17767
2022-05-02,South Dakota,46,237812,2912
2022-05-02,Tennessee,47,1981990,25895
2022-05-02,Texas,48,6756246,88311
2022-05-02,Utah,49,932480,4747
2022-05-02,Vermont,50,124523,639
2022-05-02,Virgin Islands,78,16391,111
2022-05-02,Virginia,51,1705650,20237
2022-05-02,Washington,53,1510582,12750
2022-05-02,West Virginia,54,501743,6857
2022-05-02,Wisconsin,55,1614160,14415
2022-05-02,Wyoming,56,156550,1812
2022-05-03,Alabama,01,1301463,19585
2022-05-03,Alaska,02,251388,1212
2022-05-03,American Samoa,60,5793,26
2022-05-03,Arizona,04,2021524,29951
2022-05-03,Arkansas,05,836117,11398
2022-05-03,California,06,9261139,90541
2022-05-03,Colorado,08,1393109,12602
2022-05-03,Connecticut,09,762097,10855
2022-05-03,Delaware,10,263269,2919
2022-05-03,District of Columbia,11,141943,1340
2022-05-03,Florida,12,5941724,74010
2022-05-03,Georgia,13,2445607,36349
2022-05-03,Guam,66,49223,355
2022-05-03,Hawaii,15,241955,1415
2022-05-03,Idaho,16,446330,4930
2022-05-03,Illinois,17,3157387,37919
2022-05-03,Indiana,18,1703579,23591
2022-05-03,Iowa,19,764451,9529
2022-05-03,Kansas,20,776917,8635
2022-05-03,Kentucky,21,1339430,15571
2022-05-03,Louisiana,22,1239063,17268
2022-05-03,Maine,23,247069,2291
2022-05-03,Maryland,24,1035272,14477
2022-05-03,Massachusetts,25,1766821,20292
2022-05-03,Michigan,26,2425946,36002
2022-05-03,Minnesota,27,1457048,12782
2022-05-03,Mississippi,28,798065,12450
2022-05-03,Missouri,29,1435912,20215
2022-05-03,Montana,30,274506,3375
2022-05-03,Nebraska,31,480422,4201
2022-05-03,Nevada,32,719817,10777
2022-05-03,New Hampshire,33,311625,2486
2022-05-03,New Jersey,34,2269649,33455
2022-05-03,New Mexico,35,523023,7530
2022-05-03,New York,36,5172487,67727
2022-05-03,North Carolina,37,2661765,23415
2022-05-03,North Dakota,38,241271,2315
2022-05-03,Northern Mariana Islands,69,11263,34
2022-05-03,Ohio,39,2697058,38428
2022-05-03,Oklahoma,40,1041397,14271
2022-05-03,Oregon,41,725150,7511
2022-05-03,Pennsylvania,42,2825267,44713
2022-05-03,Puerto Rico,72,579607,4215
2022-05-03,Rhode Island,44,373437,3541
2022-05-03,South Carolina,45,1477345,17847
2022-05-03,South Dakota,46,237812,2912
2022-05-03,Tennessee,47,1983100,25899
2022-05-03,Texas,48,6758486,88324
2022-05-03,Utah,49,932480,4747
