Reporting Area, Invasive pneumococcal disease: all ages §: Confirmed: Current week, Invasive pneumococcal disease: all ages §: Confirmed: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Confirmed: Cum YTD 2021 , Invasive pneumococcal disease: all ages §: Probable: Current week, Invasive pneumococcal disease: all ages §: Probable: Previous 52 weeks Max , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2022 , Invasive pneumococcal disease: all ages §: Probable: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,113,471,6,327,3,940,9,14,147,90,
New England,2,21,273,156,-,1,1,-,
Connecticut,-,6,29,38,-,0,-,-,
Maine,2,7,51,37,-,0,-,-,
Massachusetts,-,10,124,52,-,0,-,-,
New Hampshire,-,4,34,15,-,1,1,-,
Rhode Island,-,4,21,10,-,1,-,-,
Vermont,-,3,14,4,-,0,-,-,
Middle Atlantic,33,85,955,540,5,5,36,23,
New Jersey,5,12,97,101,-,3,16,16,
New York (excluding New York City),15,45,368,155,4,2,8,-,
New York City,8,22,210,142,-,1,-,7,
Pennsylvania,5,23,280,142,1,2,12,-,
East North Central,5,94,1,148,572,-,4,39,12,
Illinois,N,NC,N,N,N,NC,N,N,
Indiana,2,27,237,176,-,0,-,-,
Michigan,1,20,239,129,-,2,4,4,
Ohio,-,41,498,259,-,4,35,8,
Wisconsin,2,19,174,8,-,0,-,-,
West North Central,3,32,359,189,-,2,13,23,
Iowa,N,NC,N,N,N,NC,N,N,
Kansas,-,0,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,1,21,231,121,-,2,13,14,
Nebraska,2,7,60,30,-,0,-,-,
North Dakota,-,4,23,15,-,0,-,-,
South Dakota,-,7,45,23,-,1,-,9,
South Atlantic,28,77,875,701,1,5,14,8,
Delaware,1,5,48,27,-,0,-,-,
District of Columbia,-,2,15,8,-,0,-,-,
Florida,14,26,322,252,1,3,11,5,
Georgia,1,21,180,214,-,0,-,-,
Maryland,11,11,57,90,-,0,-,1,
North Carolina,N,NC,N,N,N,NC,N,N,
South Carolina,-,25,181,16,-,3,1,1,
Virginia,1,2,7,8,-,0,-,1,
West Virginia,-,11,65,86,-,2,2,-,
East South Central,7,45,536,451,-,2,2,2,
Alabama,4,19,159,122,-,1,1,-,
Kentucky,1,12,92,55,-,2,1,2,
Mississippi,2,6,81,67,-,0,-,-,
Tennessee,-,28,204,207,-,0,-,-,
West South Central,9,141,655,526,2,5,18,15,
Arkansas,3,10,105,61,-,1,1,-,
Louisiana,-,11,69,149,2,2,5,-,
Oklahoma,N,NC,N,N,N,NC,N,N,
Texas,6,131,481,316,-,5,12,15,
Mountain,26,94,1,430,741,1,3,18,7,
Arizona,15,48,621,324,-,1,4,3,
Colorado,8,28,364,144,1,1,3,-,
Idaho,N,NC,N,N,N,NC,N,N,
Montana,-,5,37,29,-,1,-,-,
Nevada,1,10,117,82,-,1,1,2,
New Mexico,2,16,184,76,-,0,-,-,
Utah,-,12,107,65,-,2,10,2,
Wyoming,-,3,-,21,-,0,-,-,
Pacific,-,12,96,64,-,2,6,-,
Alaska,-,11,85,53,-,2,6,-,
California,N,NC,N,N,N,NC,N,N,
Hawaii,-,3,11,11,-,0,-,-,
Oregon,N,NC,N,N,N,NC,N,N,
Washington,N,NC,N,N,N,NC,N,N,
U.S. Territories,-,0,-,1,-,0,-,-,
American Samoa,N,NC,N,N,N,NC,N,N,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,1,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,113,471,6,327,3,941,9,14,147,90,
