Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,65,972,1,337,128,1,131,20,656,28,199,
New England,-,2,9,7,-,64,507,710,
Connecticut,-,0,-,2,-,11,-,156,
Maine,-,0,-,-,-,4,26,43,
Massachusetts,-,1,5,3,-,26,397,384,
New Hampshire,-,1,1,-,-,4,39,45,
Rhode Island,-,1,3,1,-,40,43,74,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,34,50,28,142,1,968,3,097,
New Jersey,-,4,17,18,-,27,2,504,
New York (excluding New York City),-,3,15,23,24,39,661,667,
New York City,-,0,-,-,-,53,708,1,231,
Pennsylvania,-,2,2,9,4,38,597,695,
East North Central,-,8,57,83,3,131,2,068,2,973,
Illinois,-,3,-,22,-,45,372,901,
Indiana,-,3,15,12,-,28,166,322,
Michigan,-,3,17,20,-,28,467,499,
Ohio,-,6,17,24,-,52,826,915,
Wisconsin,-,3,8,5,3,18,237,336,
West North Central,-,5,39,68,4,79,1,460,1,631,
Iowa,-,2,-,5,-,12,147,157,
Kansas,-,1,8,5,-,10,126,169,
Minnesota,-,2,6,9,-,21,301,287,
Missouri,-,4,8,39,4,37,552,716,
Nebraska,-,0,-,-,-,9,91,88,
North Dakota,-,1,-,1,-,4,32,21,
South Dakota,-,3,17,9,-,17,211,193,
South Atlantic,-,15,163,183,15,245,4,509,6,010,
Delaware,-,1,2,-,-,7,71,48,
District of Columbia,-,0,-,-,-,11,110,129,
Florida,-,11,113,77,8,118,2,208,2,399,
Georgia,-,6,13,45,6,39,628,1,096,
Maryland,-,2,-,19,-,25,-,481,
North Carolina,-,4,20,17,-,57,1,027,892,
South Carolina,-,1,-,8,-,23,72,469,
Virginia,-,2,9,9,1,32,379,398,
West Virginia,-,2,6,8,-,11,14,98,
East South Central,-,6,47,85,14,88,1,459,1,551,
Alabama,-,3,16,20,9,36,528,332,
Kentucky,-,2,6,15,2,17,199,289,
Mississippi,-,3,8,28,-,25,290,435,
Tennessee,-,4,17,22,3,30,442,495,
West South Central,-,23,207,417,1,144,2,277,3,358,
Arkansas,-,4,22,20,1,32,487,482,
Louisiana,-,6,16,57,-,29,332,545,
Oklahoma,-,4,29,41,-,13,11,288,
Texas,-,18,140,299,-,95,1,447,2,043,
Mountain,-,10,103,161,2,128,1,657,2,405,
Arizona,-,6,42,88,-,58,527,1,021,
Colorado,-,2,14,12,-,40,382,336,
Idaho,-,1,-,3,-,7,55,48,
Montana,-,2,3,3,2,12,145,55,
Nevada,-,3,28,27,-,20,207,466,
New Mexico,-,3,13,27,-,26,254,359,
Utah,-,1,3,1,-,9,81,115,
Wyoming,-,0,-,-,-,3,6,5,
Pacific,-,20,313,283,61,295,4,751,6,464,
Alaska,-,1,3,1,-,7,4,109,
California,-,18,274,243,18,202,3,665,4,730,
Hawaii,-,2,-,7,-,8,-,142,
Oregon,-,3,25,10,12,32,590,447,
Washington,-,4,11,22,31,65,492,1,036,
U.S. Territories,-,2,-,2,-,12,76,171,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,2,-,12,76,171,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,2,
Total,-,66,972,1,339,128,1,131,20,732,28,372,
