Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,11,333,5,016,7,522,-,12,131,154,
New England,-,12,236,242,-,1,2,5,
Connecticut,-,5,59,54,-,0,-,-,
Maine,-,3,17,13,-,1,1,-,
Massachusetts,-,8,139,144,-,1,1,5,
New Hampshire,-,1,4,11,-,0,-,-,
Rhode Island,-,2,14,17,-,0,-,-,
Vermont,-,1,3,3,-,0,-,-,
Middle Atlantic,2,82,885,1,044,-,1,2,7,
New Jersey,2,65,238,224,-,1,1,4,
New York (excluding New York City),-,9,2,143,-,1,1,1,
New York City,-,18,494,511,-,0,-,2,
Pennsylvania,-,17,151,166,-,0,-,-,
East North Central,5,53,594,702,-,2,14,17,
Illinois,-,42,228,247,-,2,9,4,
Indiana,5,14,88,127,-,1,2,5,
Michigan,-,8,97,128,-,1,3,1,
Ohio,-,17,132,134,-,0,-,2,
Wisconsin,-,4,49,66,-,0,-,5,
West North Central,-,25,283,325,-,6,63,62,
Iowa,-,6,44,47,-,2,5,2,
Kansas,-,11,35,38,-,5,26,22,
Minnesota,-,14,104,120,-,1,1,1,
Missouri,-,4,66,74,-,2,16,11,
Nebraska,-,3,19,21,-,2,12,9,
North Dakota,-,1,5,13,-,1,2,3,
South Dakota,-,2,10,12,-,1,1,14,
South Atlantic,1,68,1,177,1,338,-,1,5,6,
Delaware,-,1,12,41,-,0,-,-,
District of Columbia,-,2,13,18,-,0,-,-,
Florida,-,17,482,490,-,0,-,-,
Georgia,-,12,216,207,-,0,-,1,
Maryland,-,22,60,176,-,1,1,1,
North Carolina,-,22,120,156,-,1,3,2,
South Carolina,-,11,95,87,-,0,-,-,
Virginia,1,8,170,157,-,1,1,-,
West Virginia,-,2,9,6,-,0,-,2,
East South Central,1,11,276,268,-,1,5,15,
Alabama,-,5,58,89,-,1,1,-,
Kentucky,1,4,69,57,-,1,4,11,
Mississippi,-,4,46,42,-,0,-,-,
Tennessee,-,7,103,80,-,0,-,4,
West South Central,1,35,764,1,199,-,6,24,23,
Arkansas,-,4,60,68,-,2,17,21,
Louisiana,1,8,59,85,-,0,-,-,
Oklahoma,-,3,45,69,-,6,6,1,
Texas,-,30,600,977,-,1,1,1,
Mountain,-,14,307,293,-,1,8,12,
Arizona,-,12,134,127,-,1,1,-,
Colorado,-,6,52,54,-,1,3,3,
Idaho,-,2,10,5,-,1,1,2,
Montana,-,1,5,3,-,0,-,2,
Nevada,-,5,47,60,-,0,-,-,
New Mexico,-,4,28,24,-,0,-,-,
Utah,-,3,31,17,-,1,3,3,
Wyoming,-,0,-,3,-,0,-,2,
Pacific,1,80,494,2,111,-,2,8,7,
Alaska,1,7,89,57,-,0,-,-,
California,-,69,-,1,681,-,1,3,2,
Hawaii,-,5,99,103,-,0,-,-,
Oregon,-,5,67,75,-,1,2,2,
Washington,-,13,239,195,-,1,3,3,
U.S. Territories,-,5,86,114,-,0,-,-,
American Samoa,-,0,-,4,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,35,-,0,-,-,
Guam,-,4,56,57,-,0,-,-,
Puerto Rico,-,3,19,16,-,0,-,-,
U.S. Virgin Islands,-,0,-,2,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,11,335,5,102,7,636,-,12,131,154,
